",""nwspol"",""polintr"",""vote"",""yrbrn"",""trstlgl"",""trstplc"",""trstplt"",""trstprt"",""trstep"""
"619,60,""Quite interested"",""Yes"",1953,""9"",""8"",""6"",""7"",""5"""
"620,120,""Hardly interested"",""Yes"",1965,""9"",""9"",""5"",""4"",""7"""
"621,60,""Not at all interested"",""No"",1971,""Complete trust"",""Complete trust"",""5"",""5"",""5"""
"622,120,""Quite interested"",""No"",1961,""8"",""8"",""5"",""5"",""8"""
"623,45,""Very interested"",""Yes"",1963,""Complete trust"",""7"",""7"",""8"",""7"""
"624,120,""Quite interested"",""Yes"",1964,""7"",""8"",""6"",""6"",""5"""
"625,45,""Quite interested"",""Yes"",1972,""9"",""7"",""5"",""7"",""8"""
"626,60,""Not at all interested"",""Yes"",1979,""8"",""6"",""4"",""5"",""5"""
"627,10,""Not at all interested"",""Yes"",1991,""6"",""7"",""2"",""2"",NA"
"628,150,""Very interested"",""Yes"",1978,""8"",""7"",""7"",""7"",""6"""
"629,60,""Quite interested"",""Not eligible to vote"",2000,""8"",""8"",""4"",""4"",""4"""
"630,150,""Hardly interested"",""Yes"",1947,""4"",""6"",""4"",""4"",""4"""
"631,75,""Very interested"",""Yes"",1950,""9"",""9"",""5"",""8"",""5"""
"632,240,""Hardly interested"",""Yes"",1962,""4"",""Complete trust"",""No trust at all"",""No trust at all"",""4"""
"633,NA,""Hardly interested"",""No"",NA,NA,""5"",""3"",""4"",""5"""
"634,5,""Hardly interested"",""Yes"",1967,""5"",""7"",""3"",""5"",""5"""
"635,120,""Quite interested"",""Not eligible to vote"",1977,""9"",""9"",""8"",""7"",""6"""
"636,120,""Quite interested"",""Yes"",1957,""9"",""7"",""7"",""7"",""7"""
"637,60,""Hardly interested"",""Yes"",1991,""Complete trust"",""Complete trust"",""5"",""7"",""8"""
"638,180,""Very interested"",""Yes"",1965,""Complete trust"",""Complete trust"",""7"",""5"",""Complete trust"""
"639,5,""Hardly interested"",""No"",2000,""Complete trust"",""Complete trust"",""8"",""8"",""8"""
"640,120,""Very interested"",""Yes"",1961,""9"",""9"",""8"",""8"",""7"""
"641,90,""Quite interested"",""Not eligible to vote"",2003,""6"",""6"",""6"",""7"",""9"""
"642,120,""Quite interested"",""Yes"",1959,""Complete trust"",""9"",""3"",""3"",""6"""
"643,60,""Hardly interested"",""Yes"",1966,""9"",""9"",""5"",""7"",NA"
"644,60,""Very interested"",""Yes"",1967,""8"",""7"",""5"",""6"",""7"""
"645,120,""Quite interested"",""Yes"",1965,""Complete trust"",""Complete trust"",""8"",""8"",""8"""
"646,60,""Quite interested"",""Not eligible to vote"",1966,""8"",""6"",""6"",""6"",""6"""
"647,20,""Not at all interested"",""Not eligible to vote"",2000,NA,""Complete trust"",""7"",NA,NA"
"648,120,""Hardly interested"",""Yes"",1992,""7"",""8"",""No trust at all"",""2"",""5"""
"649,30,""Not at all interested"",""No"",1946,""No trust at all"",""2"",""2"",""2"",""5"""
"650,60,""Very interested"",""Yes"",1963,""7"",""9"",""5"",""6"",""6"""
"651,30,""Quite interested"",""Yes"",1985,""7"",""7"",""3"",""3"",""3"""
"652,45,""Hardly interested"",""Not eligible to vote"",1999,""5"",""4"",""2"",""5"",""2"""
"653,150,""Hardly interested"",""Yes"",1994,""9"",""Complete trust"",""6"",""4"",NA"
"654,60,""Hardly interested"",""Yes"",1971,""7"",""9"",""6"",""5"",""7"""
"655,30,""Quite interested"",""Yes"",1945,""8"",""5"",""No trust at all"",""No trust at all"",NA"
"656,10,""Hardly interested"",""No"",1998,""7"",""8"",""5"",""6"",""8"""
"657,60,""Quite interested"",""Yes"",1990,""7"",""3"",""3"",""3"",""9"""
"658,150,""Very interested"",""Yes"",1949,""8"",""8"",""6"",""8"",""8"""
"659,525,""Quite interested"",""Yes"",1983,""6"",""6"",""5"",""7"",""5"""
"660,90,""Quite interested"",""Yes"",1968,""9"",""8"",""6"",""6"",""6"""
"661,902,""Quite interested"",""Yes"",1950,""Complete trust"",""Complete trust"",""8"",""8"",""8"""
"662,90,""Quite interested"",""Yes"",1952,""8"",""Complete trust"",""5"",""5"",""No trust at all"""
"663,90,""Hardly interested"",""Yes"",1985,""7"",""8"",""5"",""5"",""6"""
"664,10,""Hardly interested"",""Yes"",1979,""7"",""7"",""3"",""4"",""2"""
"665,90,""Very interested"",""Yes"",1980,""9"",""7"",""3"",""3"",""3"""
"666,210,""Very interested"",""Yes"",1939,""Complete trust"",""Complete trust"",""8"",""8"",NA"
"667,120,""Quite interested"",""Yes"",1939,""9"",""9"",""7"",""5"",""5"""
"668,60,""Quite interested"",""Yes"",1966,""7"",""9"",""5"",""5"",""8"""
"669,120,""Quite interested"",""Yes"",1950,""7"",""8"",""7"",""6"",""6"""
"670,165,""Very interested"",""Yes"",1952,""9"",""9"",""8"",""8"",""7"""
"671,30,""Quite interested"",""Not eligible to vote"",1976,""8"",""8"",""7"",NA,""5"""
"672,150,""Quite interested"",""Yes"",1957,""8"",""7"",""6"",""7"",""5"""
"673,60,""Hardly interested"",""Yes"",1956,""8"",""7"",""5"",""5"",""5"""
"674,45,""Quite interested"",""Not eligible to vote"",2002,""3"",""5"",""No trust at all"",""2"",NA"
"675,60,""Not at all interested"",""Not eligible to vote"",2001,""5"",""3"",NA,""5"",NA"
"676,20,""Hardly interested"",""Not eligible to vote"",2003,NA,""Complete trust"",""9"",""Complete trust"",""9"""
"677,180,""Hardly interested"",""Yes"",1997,""8"",""8"",""6"",""6"",""6"""
"678,15,""Hardly interested"",""Not eligible to vote"",1980,""8"",""8"",""2"",""3"",""3"""
"679,60,""Very interested"",""Yes"",1947,""8"",""8"",""6"",""8"",""5"""
"680,60,""Hardly interested"",""Yes"",1999,""5"",""8"",""2"",""2"",NA"
"681,5,""Not at all interested"",""No"",1983,""Complete trust"",""Complete trust"",""6"",""6"",""5"""
"682,60,""Hardly interested"",""Yes"",1949,""8"",""9"",""7"",""7"",""7"""
"683,60,""Quite interested"",""Yes"",1951,""6"",""4"",""4"",""4"",""No trust at all"""
"684,30,""Hardly interested"",""Yes"",1973,""5"",""6"",""4"",""4"",NA"
"685,120,""Very interested"",""No"",1993,""6"",""4"",""2"",""5"",""5"""
"686,30,""Not at all interested"",""Yes"",1966,""6"",""7"",""4"",""4"",""4"""
"687,10,""Hardly interested"",""No"",NA,""8"",""Complete trust"",""5"",""3"",""3"""
"688,60,""Very interested"",""Yes"",1968,""9"",""7"",""6"",""5"",""5"""
"689,NA,""Hardly interested"",""Yes"",1957,""4"",""6"",""2"",""1"",""1"""
"690,120,""Hardly interested"",""Yes"",1961,""9"",""8"",""7"",""8"",""7"""
"691,40,""Hardly interested"",""Yes"",1970,""7"",""8"",""6"",""6"",""7"""
"692,60,""Quite interested"",""Yes"",1964,""5"",""5"",""5"",""4"",""4"""
"693,90,""Quite interested"",""Yes"",1967,""7"",""4"",""4"",""4"",""5"""
"694,15,""Hardly interested"",""Yes"",1998,""Complete trust"",""8"",""5"",""5"",NA"
"695,60,""Quite interested"",""Yes"",1973,""9"",""8"",""7"",""7"",""5"""
"696,60,""Quite interested"",""Yes"",1979,""8"",""Complete trust"",""7"",""7"",""7"""
"697,120,""Quite interested"",""Yes"",1951,""8"",""8"",""5"",""5"",""6"""
"698,20,""Quite interested"",""Yes"",1977,""9"",""9"",""7"",""7"",""5"""
"699,240,""Quite interested"",""Yes"",1948,""8"",""8"",""4"",""5"",NA"
"700,15,""Very interested"",""Yes"",1995,""6"",""7"",""4"",""4"",""2"""
"701,120,""Quite interested"",""Yes"",1987,""9"",""8"",""6"",""7"",""7"""
"702,1074,""Hardly interested"",""No"",1989,NA,""Complete trust"",""3"",""3"",""5"""
"703,180,""Quite interested"",""Yes"",1945,""9"",""9"",""7"",""8"",""8"""
"704,120,""Quite interested"",""Yes"",1953,""3"",""4"",""3"",""2"",NA"
"705,180,""Quite interested"",""Yes"",1948,""8"",""9"",""5"",""7"",NA"
"706,30,""Quite interested"",""Yes"",1960,""9"",""9"",""6"",""6"",""6"""
"707,15,""Very interested"",""Yes"",1986,""Complete trust"",""Complete trust"",""6"",""6"",""5"""
"708,30,""Quite interested"",""Yes"",1976,""5"",""7"",""No trust at all"",""1"",""No trust at all"""
"709,NA,""Hardly interested"",""Yes"",1950,""3"",""4"",""3"",""3"",NA"
"710,120,""Hardly interested"",""Yes"",1993,""7"",""Complete trust"",""7"",""7"",""7"""
"711,30,""Hardly interested"",""Yes"",1960,""9"",""8"",""3"",""2"",""5"""
"712,210,""Quite interested"",""Yes"",1941,""7"",""8"",""6"",""6"",""7"""
"713,90,""Very interested"",""Yes"",1951,""9"",""8"",""6"",""6"",""4"""
"714,30,""Hardly interested"",""Yes"",1989,""9"",""Complete trust"",""6"",""7"",""8"""
"715,60,""Hardly interested"",""Yes"",1970,""9"",""8"",""5"",""5"",""5"""
"716,60,""Quite interested"",""No"",1964,""8"",""8"",""7"",""8"",""6"""
"717,120,""Hardly interested"",""Yes"",1949,""8"",""8"",""6"",""5"",""3"""
"718,15,""Very interested"",""Yes"",NA,""7"",""8"",""5"",""5"",""2"""
"719,30,""Not at all interested"",""Yes"",1989,""Complete trust"",""Complete trust"",""Complete trust"",""8"",""5"""
"720,10,""Hardly interested"",""No"",2000,""7"",""7"",""6"",""5"",""8"""
"721,180,""Hardly interested"",""Yes"",1965,NA,NA,""5"",""3"",NA"
"722,120,""Not at all interested"",""No"",1993,""5"",""8"",""3"",""3"",""3"""
"723,90,""Hardly interested"",""Yes"",1968,""4"",""8"",""3"",""2"",NA"
"724,60,""Hardly interested"",""No"",1974,""3"",""5"",""2"",""2"",""3"""
"725,60,""Hardly interested"",""Yes"",1993,""6"",""Complete trust"",""7"",""8"",""7"""
"726,30,""Quite interested"",""No"",2000,""No trust at all"",""3"",""6"",""5"",""2"""
"727,60,""Hardly interested"",""Yes"",1951,""7"",""7"",""5"",""6"",NA"
"728,0,""Not at all interested"",""Yes"",1974,""8"",""8"",""3"",""4"",NA"
"729,180,""Quite interested"",""Yes"",1978,""4"",""8"",""2"",""2"",NA"
"730,40,""Quite interested"",""Yes"",1970,""9"",""Complete trust"",""7"",""7"",""5"""
"731,0,""Hardly interested"",""Not eligible to vote"",2003,""9"",""8"",""9"",""9"",NA"
"732,60,""Hardly interested"",""Yes"",1971,""2"",""8"",""No trust at all"",""No trust at all"",NA"
"733,60,""Hardly interested"",""Yes"",1970,""7"",""8"",""5"",""5"",""7"""
"734,60,""Quite interested"",""Yes"",1976,""8"",""7"",""6"",""6"",""6"""
"735,60,""Not at all interested"",""Yes"",1963,""Complete trust"",""Complete trust"",""7"",""7"",""8"""
"736,45,""Very interested"",""Yes"",1993,""7"",""8"",""7"",""8"",""8"""
"737,120,""Very interested"",""Yes"",1970,""7"",""7"",""6"",""6"",""2"""
"738,270,""Quite interested"",""Yes"",1976,""9"",""9"",""7"",""7"",""8"""
"739,60,""Quite interested"",""Yes"",1971,""9"",""9"",""6"",""6"",""5"""
"740,30,""Quite interested"",""Not eligible to vote"",2000,""6"",""5"",""5"",""4"",NA"
"741,120,""Hardly interested"",""Yes"",1949,""4"",""4"",""4"",""4"",""5"""
"742,5,""Hardly interested"",""Yes"",1964,""8"",""7"",""6"",""6"",""6"""
"743,60,""Quite interested"",""Not eligible to vote"",1954,""5"",""5"",""5"",""6"",""6"""
"744,30,""Hardly interested"",""No"",NA,""7"",""9"",""7"",""7"",""8"""
"745,15,""Quite interested"",""Yes"",1970,""5"",""1"",""5"",""5"",""5"""
"746,60,""Quite interested"",""Yes"",1979,""9"",""9"",""5"",""7"",""5"""
"747,270,""Quite interested"",""Yes"",NA,""7"",""8"",""8"",""8"",""Complete trust"""
"748,60,""Quite interested"",""Yes"",1947,""6"",""5"",""5"",""7"",""5"""
"749,150,""Quite interested"",""Yes"",1938,""9"",""5"",""6"",NA,""8"""
"750,120,""Quite interested"",""Not eligible to vote"",1993,""9"",""9"",""7"",""7"",""7"""
"751,90,""Hardly interested"",""Yes"",1962,""8"",""8"",""5"",""5"",""8"""
"752,60,""Hardly interested"",""Yes"",1991,""7"",""9"",""4"",""3"",""5"""
"753,30,""Hardly interested"",""Yes"",1969,""8"",""9"",""5"",""5"",""7"""
"754,60,""Quite interested"",""Yes"",1996,""7"",""7"",""5"",""4"",""8"""
"755,45,""Quite interested"",""Yes"",1972,""Complete trust"",""Complete trust"",""8"",""8"",""6"""
"756,30,""Hardly interested"",""Not eligible to vote"",NA,""8"",""9"",""5"",""5"",""5"""
"757,180,""Very interested"",""Yes"",1943,""Complete trust"",""9"",""6"",""7"",""7"""
"758,60,""Quite interested"",""Yes"",1988,""4"",""4"",""2"",""5"",""7"""
"759,60,""Quite interested"",""Yes"",1965,""9"",""7"",""4"",""4"",""No trust at all"""
"760,180,""Very interested"",""Yes"",1939,""7"",""7"",""7"",""6"",""7"""
"761,120,""Quite interested"",""Yes"",NA,""9"",""8"",""8"",""7"",""7"""
"762,120,""Hardly interested"",""Yes"",1952,""5"",""7"",""4"",""3"",""4"""
"763,60,""Quite interested"",""Yes"",NA,""7"",""7"",""7"",""7"",""6"""
"764,90,""Quite interested"",""Yes"",1970,""9"",""6"",""6"",""6"",NA"
"765,60,""Quite interested"",""Yes"",1964,""9"",""9"",""5"",""5"",""7"""
"766,841,""Quite interested"",""No"",1979,NA,""6"",""4"",""4"",""4"""
"767,NA,""Quite interested"",""Yes"",1994,""9"",""9"",""7"",""8"",""9"""
"768,240,""Very interested"",""Yes"",1966,""9"",""9"",""6"",""5"",""7"""
"769,558,""Very interested"",""Yes"",1945,""3"",""3"",""2"",""2"",""2"""
"770,30,""Hardly interested"",""Yes"",1976,""7"",""7"",""6"",""5"",NA"
"771,90,""Very interested"",""Yes"",1959,""Complete trust"",""8"",""9"",""8"",""7"""
"772,90,""Quite interested"",""Yes"",1953,""7"",""7"",""6"",""7"",NA"
"773,40,""Hardly interested"",""Yes"",1988,""9"",""9"",""5"",""5"",""6"""
"774,0,""Not at all interested"",""Yes"",1999,""8"",""8"",""4"",""6"",NA"
"775,30,""Hardly interested"",""Yes"",1980,""9"",""Complete trust"",""6"",""5"",""4"""
"776,30,""Hardly interested"",""Yes"",1990,""9"",""Complete trust"",""7"",""7"",""6"""
"777,30,""Quite interested"",""Yes"",1968,""5"",""4"",""2"",""2"",""1"""
"778,60,""Hardly interested"",""Yes"",1984,""8"",""5"",""4"",""6"",""No trust at all"""
"779,60,""Quite interested"",""Yes"",1947,""9"",""9"",""6"",""8"",NA"
"780,60,""Quite interested"",""Yes"",1978,""7"",""7"",""6"",""6"",""6"""
"781,90,""Quite interested"",""Yes"",1995,""Complete trust"",""8"",""5"",""4"",""5"""
"782,15,""Hardly interested"",""Yes"",1967,""6"",""4"",""2"",""2"",""1"""
"783,120,""Quite interested"",""Yes"",NA,""9"",""6"",""4"",""4"",""5"""
"784,90,""Hardly interested"",""Yes"",1944,""8"",""9"",""6"",""6"",""7"""
"785,15,""Hardly interested"",""Yes"",1991,""8"",""8"",""6"",""7"",NA"
"786,15,""Hardly interested"",""No"",1998,""9"",""Complete trust"",""3"",""4"",NA"
"787,60,""Quite interested"",""Yes"",1973,""4"",""5"",""4"",""4"",""3"""
"788,150,""Hardly interested"",""Yes"",1946,""9"",""Complete trust"",""8"",""7"",""7"""
"789,30,""Hardly interested"",""Yes"",1993,""9"",""7"",""3"",""4"",""2"""
"790,971,""Hardly interested"",""Yes"",1997,""Complete trust"",""Complete trust"",""7"",""7"",""7"""
"791,30,""Not at all interested"",""Yes"",1976,""6"",""7"",""4"",""4"",""5"""
"792,60,""Quite interested"",""Yes"",1970,""9"",""8"",""7"",""8"",""6"""
"793,30,""Hardly interested"",""Yes"",2002,""8"",""Complete trust"",""5"",""8"",""6"""
"794,150,""Quite interested"",""Yes"",1941,""9"",""8"",""6"",""6"",""5"""
"795,120,""Quite interested"",""Yes"",1939,""Complete trust"",""Complete trust"",""8"",""8"",""9"""
"796,60,""Not at all interested"",""Not eligible to vote"",2000,""Complete trust"",""Complete trust"",""6"",""7"",""8"""
"797,150,""Very interested"",""Yes"",1945,""Complete trust"",""8"",""6"",""6"",""5"""
"798,120,""Quite interested"",""Yes"",1970,""8"",""9"",""7"",""7"",NA"
"799,10,""Not at all interested"",""Yes"",1995,""8"",""8"",""1"",""4"",""5"""
"800,10,""Hardly interested"",""Not eligible to vote"",1980,""8"",""8"",""8"",""8"",""8"""
"801,30,""Hardly interested"",""Yes"",1955,""7"",""8"",""6"",""7"",NA"
"802,120,""Quite interested"",""Not eligible to vote"",1984,""Complete trust"",""Complete trust"",""6"",""3"",NA"
"803,60,""Hardly interested"",""Yes"",1982,""4"",""5"",""5"",""4"",""6"""
"804,120,""Very interested"",""Yes"",1972,""8"",""9"",""5"",""5"",""5"""
"805,60,""Very interested"",""Yes"",1974,""7"",""8"",""9"",""5"",""5"""
"806,10,""Hardly interested"",""Yes"",1998,""3"",""6"",""3"",""3"",""5"""
"807,10,""Not at all interested"",""No"",1995,""3"",""2"",""3"",""3"",""4"""
"808,30,""Quite interested"",""Yes"",1985,""7"",""7"",""5"",""5"",""5"""
"809,60,""Hardly interested"",""Not eligible to vote"",2001,NA,""Complete trust"",""Complete trust"",NA,NA"
"810,20,""Not at all interested"",""Yes"",1979,""5"",""6"",""4"",""4"",""4"""
"811,60,""Very interested"",""Yes"",1982,""8"",""7"",""6"",""5"",""4"""
"812,360,""Very interested"",""Yes"",1953,""Complete trust"",""Complete trust"",""5"",""5"",""5"""
"813,30,""Quite interested"",""Yes"",1977,""8"",""8"",""7"",""6"",NA"
"814,90,""Very interested"",""Yes"",1947,""8"",""8"",""7"",""7"",""6"""
"815,60,""Very interested"",""Yes"",1968,""7"",""8"",""4"",""5"",NA"
"816,180,""Quite interested"",""Yes"",1939,""7"",""8"",""2"",""4"",""5"""
"817,60,""Hardly interested"",""Yes"",1949,""6"",""7"",""5"",""6"",""4"""
"818,10,""Quite interested"",""Yes"",1983,""6"",""9"",""4"",""6"",""8"""
"819,60,""Hardly interested"",""Yes"",1990,""9"",""9"",""5"",""5"",""6"""
"820,20,""Quite interested"",""Yes"",1970,""Complete trust"",""Complete trust"",""7"",""5"",""7"""
"821,30,""Not at all interested"",""No"",1969,""5"",""5"",""4"",""4"",""4"""
"822,15,""Quite interested"",""Not eligible to vote"",2001,""8"",""8"",""7"",""7"",""9"""
"823,30,""Hardly interested"",""Yes"",1995,""Complete trust"",""6"",""3"",""3"",NA"
"824,60,""Hardly interested"",""Yes"",1980,""Complete trust"",""Complete trust"",""6"",""6"",""Complete trust"""
"825,180,""Very interested"",""Yes"",1944,""9"",""9"",""4"",""5"",""2"""
"826,10,""Hardly interested"",""Yes"",1984,""7"",""7"",""1"",""1"",""1"""
"827,210,""Very interested"",""Yes"",1952,""9"",""8"",""8"",""7"",NA"
"828,90,""Quite interested"",""Yes"",1991,""8"",""8"",""7"",""7"",""7"""
"829,60,""Quite interested"",""Yes"",1978,""7"",""8"",""6"",""5"",""6"""
"830,300,""Very interested"",""Yes"",1962,""2"",""6"",""5"",""5"",""4"""
"831,30,""Very interested"",""Yes"",1974,""9"",""9"",""6"",""6"",""6"""
"832,45,""Hardly interested"",""Yes"",1981,""2"",""4"",""1"",""1"",NA"
"833,30,""Hardly interested"",""Yes"",1970,""7"",""7"",""6"",""5"",""5"""
"834,150,""Quite interested"",""Yes"",1964,""9"",""9"",""8"",""7"",""9"""
"835,60,""Hardly interested"",""Yes"",1964,""8"",""Complete trust"",""7"",""7"",NA"
"836,270,""Quite interested"",""Yes"",1928,""8"",""9"",""6"",""5"",""2"""
"837,608,""Quite interested"",""Yes"",1956,""5"",""6"",""4"",""4"",""3"""
"838,270,""Very interested"",""Yes"",1935,""8"",""Complete trust"",""9"",""8"",NA"
"839,15,""Hardly interested"",""Yes"",1980,""5"",""7"",""4"",""4"",""5"""
"840,90,""Hardly interested"",""Yes"",1972,""Complete trust"",""8"",""7"",""8"",""8"""
"841,2,""Hardly interested"",""Not eligible to vote"",2002,""Complete trust"",""Complete trust"",""9"",""9"",NA"
"842,120,""Hardly interested"",""Yes"",NA,""7"",""4"",""5"",""4"",""3"""
"843,30,""Hardly interested"",""Yes"",1969,""8"",""8"",""5"",""5"",NA"
"844,0,""Not at all interested"",""No"",1999,""6"",""7"",""3"",""4"",""5"""
"845,60,""Quite interested"",""Yes"",1974,""9"",""8"",""4"",""6"",""6"""
"846,60,""Hardly interested"",""Yes"",1961,""7"",""8"",""3"",""3"",""4"""
"847,30,""Quite interested"",""Yes"",1995,""9"",""9"",""7"",""7"",""7"""
"848,NA,""Quite interested"",""Yes"",1986,""9"",""Complete trust"",""8"",""8"",""7"""
"849,30,""Quite interested"",""Yes"",1965,""9"",""6"",""6"",""6"",""7"""
"850,120,""Hardly interested"",""Yes"",1999,""9"",""8"",""6"",""6"",""8"""
"851,180,""Very interested"",""Yes"",1929,""Complete trust"",""8"",""4"",""7"",""8"""
"852,60,""Hardly interested"",""Yes"",1958,""7"",""9"",""5"",""5"",NA"
"853,NA,""Hardly interested"",""Yes"",1990,""8"",""Complete trust"",""6"",""6"",""6"""
"854,60,""Quite interested"",""Yes"",1958,""8"",""9"",""6"",""6"",""5"""
"855,30,""Hardly interested"",""Not eligible to vote"",1967,""8"",""8"",""7"",""6"",""6"""
"856,60,""Quite interested"",""Yes"",1971,""No trust at all"",""6"",""6"",""7"",""8"""
"857,60,""Quite interested"",""Yes"",1952,""8"",""8"",""7"",""6"",""7"""
"858,30,""Hardly interested"",""No"",1964,""9"",""9"",""6"",""6"",""8"""
"859,120,""Quite interested"",""Yes"",1975,""8"",""9"",""7"",""7"",""5"""
"860,30,""Hardly interested"",""Yes"",1989,""9"",""9"",""5"",""3"",""8"""
"861,60,""Quite interested"",""Yes"",1971,""8"",""8"",""7"",""7"",""6"""
"862,30,""Quite interested"",""Yes"",1954,""4"",""9"",""4"",""8"",""4"""
"863,947,""Hardly interested"",""Not eligible to vote"",2003,""9"",""Complete trust"",""9"",""8"",""8"""
"864,20,""Quite interested"",""No"",2002,""6"",""5"",""4"",""4"",""4"""
"865,30,""Hardly interested"",""Yes"",1971,""Complete trust"",""9"",""6"",""6"",""5"""
"866,120,""Very interested"",""Yes"",1966,""9"",""7"",""6"",""5"",""6"""
"867,75,""Very interested"",""Yes"",1973,""9"",""9"",""7"",""8"",""6"""
"868,330,""Quite interested"",""Yes"",1947,""8"",""6"",""1"",""2"",""1"""
"869,10,""Hardly interested"",""Yes"",1973,""9"",""9"",""8"",""8"",""8"""
"870,10,""Hardly interested"",""Yes"",1990,""Complete trust"",""Complete trust"",""9"",""8"",""8"""
"871,120,""Quite interested"",""Yes"",1941,""8"",""5"",""4"",""4"",""5"""
"872,30,""Not at all interested"",""Yes"",1979,""9"",""8"",""5"",""5"",NA"
"873,60,""Hardly interested"",""Yes"",1995,""8"",""Complete trust"",""6"",""6"",""8"""
"874,0,""Hardly interested"",""Not eligible to vote"",2003,""Complete trust"",""9"",""8"",""8"",""4"""
"875,120,""Quite interested"",""Yes"",1964,""6"",""7"",""5"",""3"",""4"""
"876,120,""Hardly interested"",""Yes"",1944,""8"",""8"",""5"",""5"",""6"""
"877,120,""Quite interested"",""Yes"",1943,""8"",""8"",""6"",""6"",""6"""
"878,20,""Quite interested"",""Yes"",1965,""9"",""8"",""2"",""2"",""4"""
"879,30,""Hardly interested"",""Yes"",1977,""Complete trust"",""Complete trust"",""6"",""6"",""8"""
"880,866,""Quite interested"",""Yes"",1954,""5"",""5"",""2"",""2"",""2"""
"881,30,""Hardly interested"",""Yes"",1982,""8"",""5"",""5"",""5"",NA"
"882,30,""Hardly interested"",""No"",1956,""4"",""4"",""4"",""4"",""4"""
"883,60,""Hardly interested"",""Yes"",1990,""7"",""6"",""4"",""6"",""5"""
"884,120,""Hardly interested"",""Yes"",1972,""Complete trust"",""Complete trust"",""3"",""3"",""2"""
"885,60,""Quite interested"",""Yes"",1990,""6"",""6"",""4"",""4"",""4"""
"886,60,""Quite interested"",""Yes"",1967,""9"",""8"",""5"",""7"",""3"""
"887,30,""Hardly interested"",""Not eligible to vote"",2001,""5"",""8"",""5"",""3"",""6"""
"888,60,""Very interested"",""Yes"",1954,""7"",""7"",""5"",""5"",""2"""
"889,15,""Not at all interested"",""Not eligible to vote"",2000,NA,""Complete trust"",""5"",""7"",NA"
"890,90,""Very interested"",""Yes"",1975,""9"",""7"",""7"",""8"",""7"""
"891,20,""Hardly interested"",""Not eligible to vote"",2002,""4"",""8"",""5"",""6"",""7"""
"892,60,""Hardly interested"",""Yes"",1987,""8"",""8"",""2"",""6"",NA"
"893,120,""Quite interested"",""Yes"",1949,""8"",""9"",""5"",""4"",""4"""
"894,30,""Quite interested"",""Yes"",1960,""6"",""6"",""6"",""6"",""6"""
"895,60,""Quite interested"",""Yes"",1975,""Complete trust"",""Complete trust"",""8"",""8"",""8"""
"896,15,""Not at all interested"",""Not eligible to vote"",1999,""6"",""7"",""6"",""3"",""7"""
"897,45,""Quite interested"",""Yes"",1981,""9"",""Complete trust"",""6"",""5"",""5"""
"898,120,""Very interested"",""Yes"",1994,""5"",""6"",""4"",""3"",""3"""
"899,20,""Hardly interested"",""Yes"",1970,""7"",""9"",""3"",""4"",""6"""
"900,600,""Very interested"",""Yes"",1970,""9"",""8"",""6"",""4"",""4"""
"901,60,""Quite interested"",""Yes"",1996,""7"",""7"",""5"",""5"",NA"
"902,5,""Quite interested"",""Not eligible to vote"",2000,""Complete trust"",""Complete trust"",""9"",""7"",""9"""
"903,60,""Hardly interested"",""Yes"",1977,""8"",""9"",""5"",""6"",NA"
"904,15,""Hardly interested"",""Not eligible to vote"",2002,""9"",""9"",""6"",""6"",""6"""
"905,150,""Quite interested"",""Yes"",1972,""7"",""1"",""4"",""4"",""6"""
"906,30,""Quite interested"",""Yes"",1968,""8"",""9"",""4"",""4"",""3"""
"907,180,""Very interested"",""Yes"",1999,""9"",""9"",""5"",""5"",""3"""
"908,15,""Hardly interested"",""Not eligible to vote"",2000,""9"",""Complete trust"",""5"",""4"",""7"""
"909,30,""Hardly interested"",""Yes"",1981,""8"",""7"",""4"",""4"",NA"
"910,540,""Quite interested"",""Yes"",1954,""8"",""8"",""8"",""5"",NA"
"911,240,""Quite interested"",""Yes"",1977,""8"",""9"",""5"",""5"",""6"""
"912,30,""Quite interested"",""Yes"",1974,""7"",""8"",""5"",""5"",""8"""
"913,30,""Hardly interested"",""No"",1945,""6"",""8"",""4"",""4"",NA"
"914,20,""Not at all interested"",""Yes"",1990,""6"",""7"",""5"",""5"",""5"""
"915,16,""Not at all interested"",""Not eligible to vote"",1985,""5"",""4"",""5"",""5"",""7"""
"916,90,""Hardly interested"",""Yes"",1963,""8"",""8"",""7"",""6"",""7"""
"917,45,""Very interested"",""Yes"",1957,""6"",""4"",""7"",""7"",""3"""
"918,20,""Hardly interested"",""Yes"",1963,""7"",""7"",""5"",""5"",NA"
"919,30,""Quite interested"",""Yes"",1963,""5"",""7"",""3"",""3"",""4"""
"920,20,""Hardly interested"",""Yes"",1968,""8"",""9"",""5"",""5"",""5"""
"921,30,""Hardly interested"",""Yes"",1998,""8"",""8"",""5"",""5"",""4"""
"922,150,""Very interested"",""Yes"",1946,""Complete trust"",""Complete trust"",""5"",""5"",""5"""
"923,60,""Not at all interested"",""Yes"",1988,""8"",""9"",""6"",""6"",NA"
"924,10,""Hardly interested"",""Yes"",1988,""7"",""6"",""8"",""8"",NA"
"925,180,""Very interested"",""Yes"",1947,""9"",""9"",""8"",""8"",""6"""
"926,60,""Hardly interested"",""Yes"",1957,""8"",""6"",""4"",""4"",""3"""
"927,60,""Hardly interested"",""Not eligible to vote"",1980,""5"",""9"",""5"",""3"",""5"""
