nwspol,polintr,vote,yrbrn,trstlgl,trstplc,trstplt,trstprt,trstep
60,Hardly interested,Yes,1965,8,8,6,6,7
90,NA,No,1997,4,4,5,4,NA
180,Very interested,Not eligible to vote,1953,7,6,5,6,4
240,Quite interested,Yes,1947,9,8,8,8,6
15,Hardly interested,Yes,1979,8,7,4,4,4
50,Quite interested,Yes,1953,8,Complete trust,5,5,4
60,Quite interested,Yes,1980,9,9,7,7,8
60,Quite interested,Yes,1945,7,7,7,7,7
120,Very interested,Yes,1956,Complete trust,Complete trust,8,8,8
90,Hardly interested,Not eligible to vote,2002,9,Complete trust,8,9,8
60,Hardly interested,Yes,1977,7,9,5,5,NA
120,Quite interested,Yes,1993,9,8,5,5,8
30,Hardly interested,Yes,1983,9,8,6,7,NA
731,Hardly interested,Yes,1976,Complete trust,8,Complete trust,8,8
60,Very interested,No,1982,6,6,No trust at all,No trust at all,No trust at all
120,Very interested,Yes,1962,9,8,4,4,4
30,Quite interested,Yes,1971,Complete trust,Complete trust,7,7,6
120,Quite interested,Yes,1957,8,Complete trust,8,7,6
120,Hardly interested,Yes,1982,9,9,7,6,6
120,Very interested,Yes,1960,9,9,5,5,5
30,Hardly interested,Yes,1997,Complete trust,Complete trust,5,5,8
60,Hardly interested,Yes,1971,Complete trust,8,7,7,5
60,Quite interested,Yes,1998,8,9,6,7,7
90,Quite interested,Yes,1988,9,9,5,5,8
120,Quite interested,Yes,1961,9,8,4,4,5
60,Very interested,Yes,1969,9,8,7,8,8
150,Quite interested,Yes,1966,8,7,7,7,NA
30,Very interested,Yes,1950,9,7,4,4,3
30,Hardly interested,Yes,1996,8,9,7,7,7
15,Not at all interested,Yes,1961,6,4,No trust at all,No trust at all,NA
90,Quite interested,Yes,1959,3,5,2,4,5
60,Quite interested,Yes,1979,8,7,6,6,6
60,Very interested,Not eligible to vote,2003,6,8,6,8,6
90,Quite interested,Yes,1937,8,8,4,4,7
15,Hardly interested,Not eligible to vote,2000,5,7,4,No trust at all,NA
60,Quite interested,Yes,1982,Complete trust,8,6,6,7
120,Quite interested,Yes,1989,Complete trust,Complete trust,7,9,Complete trust
120,Quite interested,Yes,1943,8,7,5,5,NA
120,Hardly interested,Yes,1983,8,6,5,7,7
30,Hardly interested,Yes,1980,9,Complete trust,7,7,6
150,Quite interested,Yes,1991,Complete trust,Complete trust,2,3,Complete trust
120,Very interested,Yes,1997,7,9,3,3,NA
30,Hardly interested,Yes,NA,No trust at all,3,No trust at all,2,NA
180,Quite interested,Yes,1960,Complete trust,Complete trust,7,7,8
90,Very interested,Yes,1965,Complete trust,Complete trust,8,9,Complete trust
90,Quite interested,Yes,1955,8,8,6,6,6
60,Hardly interested,Yes,1974,8,8,4,5,4
0,Not at all interested,Yes,1989,6,4,1,3,No trust at all
60,Quite interested,Yes,1974,9,9,7,7,7
40,Hardly interested,Yes,1990,6,6,4,4,4
60,Hardly interested,Yes,1957,8,8,7,7,8
60,Hardly interested,Yes,1999,6,Complete trust,Complete trust,9,NA
60,Very interested,Yes,1967,9,9,7,5,5
120,Hardly interested,Yes,1968,9,9,5,4,7
60,Hardly interested,Yes,1945,Complete trust,Complete trust,5,5,No trust at all
90,Hardly interested,Yes,1955,9,9,8,9,5
810,Hardly interested,No,1943,9,Complete trust,6,6,No trust at all
120,Quite interested,Yes,1990,7,6,5,5,4
120,Hardly interested,Yes,1944,3,6,3,6,No trust at all
120,Quite interested,Yes,1962,9,9,6,6,NA
10,Not at all interested,Yes,1988,4,4,4,3,4
865,Quite interested,No,1966,9,9,7,5,5
NA,Quite interested,Yes,1981,8,8,8,8,8
60,Hardly interested,Not eligible to vote,2002,Complete trust,Complete trust,7,6,9
1072,Not at all interested,No,1973,8,Complete trust,8,NA,9
30,Not at all interested,Yes,1959,9,9,7,7,NA
45,Hardly interested,Yes,1948,7,9,5,5,NA
10,Hardly interested,Yes,1971,8,6,6,6,7
120,Quite interested,Yes,1957,5,2,4,7,5
360,Not at all interested,Yes,1982,9,7,No trust at all,No trust at all,No trust at all
30,Hardly interested,Yes,1996,4,6,4,7,5
135,Quite interested,Yes,1956,9,Complete trust,9,9,9
60,Quite interested,Yes,1955,8,8,9,8,8
60,Quite interested,Yes,1965,7,7,5,6,5
105,Very interested,Yes,1949,Complete trust,9,6,6,5
40,Hardly interested,Yes,1962,8,6,6,6,9
60,Hardly interested,Yes,NA,5,5,5,5,5
30,Quite interested,Yes,1968,9,9,8,8,7
120,Not at all interested,Yes,1979,8,7,4,4,4
105,Hardly interested,Yes,1956,7,7,8,6,7
90,Quite interested,Yes,1971,9,9,4,4,3
300,Quite interested,Yes,1964,7,8,5,3,3
300,Very interested,Yes,1942,Complete trust,9,8,8,6
15,Hardly interested,Yes,1984,7,7,6,5,5
120,Quite interested,Yes,1993,5,6,2,2,5
180,Not at all interested,Not eligible to vote,2000,7,7,5,5,NA
60,Hardly interested,Not eligible to vote,2002,9,7,6,6,8
30,Very interested,Yes,1948,9,Complete trust,8,8,9
120,Quite interested,Yes,1972,2,2,7,8,4
666,Hardly interested,Yes,1979,8,7,6,7,9
60,Quite interested,Yes,1971,9,8,7,7,6
45,Hardly interested,Yes,1999,6,7,3,4,4
90,Quite interested,Yes,1954,5,6,5,7,7
30,Very interested,Yes,1958,7,5,3,3,NA
30,Not at all interested,Yes,1986,8,9,5,4,5
10,Hardly interested,Yes,1983,9,Complete trust,3,2,6
90,Quite interested,Yes,1974,9,9,7,7,7
10,Hardly interested,Not eligible to vote,1988,9,Complete trust,9,7,5
NA,Hardly interested,Yes,1965,9,8,5,5,2
60,Very interested,Yes,1983,8,7,5,6,6
60,Not at all interested,Yes,1978,8,8,6,6,7
75,Quite interested,Yes,1963,7,7,6,6,4
150,Quite interested,No,1955,4,4,4,4,NA
90,Quite interested,Yes,1961,6,8,8,7,7
150,Very interested,Yes,1953,8,Complete trust,6,5,8
60,Quite interested,Yes,1965,8,8,3,5,8
NA,Hardly interested,Yes,1962,7,8,7,7,6
60,Hardly interested,No,1980,7,4,6,7,7
60,Hardly interested,Yes,1968,9,9,5,5,7
30,Hardly interested,Yes,1994,Complete trust,Complete trust,5,7,8
120,Very interested,Yes,1976,4,Complete trust,3,3,5
15,Quite interested,Yes,1984,6,7,3,3,5
60,Quite interested,Yes,1969,7,8,6,7,7
60,Quite interested,Yes,1971,8,8,5,5,4
360,Very interested,Yes,1944,8,Complete trust,6,6,6
15,Hardly interested,No,1999,7,9,6,8,NA
60,Quite interested,Yes,1960,8,7,6,6,8
120,Quite interested,Yes,1973,6,6,3,3,No trust at all
30,Hardly interested,Yes,1993,9,9,5,4,NA
120,Quite interested,Yes,1962,4,6,2,5,NA
60,Not at all interested,Yes,1953,7,Complete trust,No trust at all,No trust at all,NA
30,Quite interested,No,1983,NA,Complete trust,NA,Complete trust,NA
60,Hardly interested,Yes,1962,8,9,5,5,5
30,Quite interested,Yes,1954,No trust at all,7,4,4,No trust at all
90,Hardly interested,Yes,1972,Complete trust,Complete trust,5,6,3
10,Hardly interested,Yes,1990,7,7,5,5,7
60,Quite interested,Yes,1991,Complete trust,Complete trust,6,7,7
30,Hardly interested,Yes,1967,4,3,No trust at all,No trust at all,No trust at all
120,Quite interested,Yes,1945,8,7,4,6,5
5,Hardly interested,Yes,1974,7,7,5,5,NA
150,Quite interested,Yes,1964,7,8,5,5,4
60,Quite interested,Yes,1974,9,8,7,7,7
60,Very interested,Not eligible to vote,1979,9,8,5,5,7
120,Quite interested,Yes,1948,7,7,6,6,7
5,Hardly interested,Not eligible to vote,1999,Complete trust,Complete trust,8,8,NA
120,Quite interested,Yes,1971,9,8,7,7,7
NA,Hardly interested,Yes,1994,9,7,6,8,8
180,Quite interested,Yes,1952,NA,8,5,5,NA
240,Hardly interested,Yes,1999,9,Complete trust,6,7,8
45,Hardly interested,No,NA,6,7,7,6,8
90,Hardly interested,Yes,1989,9,6,6,6,6
15,Quite interested,Yes,1989,8,8,5,5,5
30,Quite interested,Yes,1959,8,8,6,6,6
60,Quite interested,Yes,1994,9,9,6,7,7
150,Hardly interested,Yes,1953,6,7,5,5,6
120,Hardly interested,No,1959,6,8,3,3,4
60,Quite interested,Yes,1980,9,9,6,7,7
60,Quite interested,Yes,1953,9,6,8,7,9
30,Hardly interested,Yes,1969,7,8,6,6,NA
120,Quite interested,Yes,1984,9,8,6,5,5
10,Quite interested,Yes,1958,6,7,3,3,2
25,Quite interested,No,1965,8,9,6,6,2
60,Quite interested,Not eligible to vote,1959,9,8,8,8,8
60,Very interested,Yes,1961,7,8,5,4,NA
120,Very interested,Yes,1969,8,9,7,7,6
20,Quite interested,Not eligible to vote,2002,7,7,3,2,NA
2,Not at all interested,Yes,1987,2,8,No trust at all,No trust at all,NA
120,Quite interested,Yes,1966,8,7,5,5,NA
90,Quite interested,Yes,1950,Complete trust,5,5,7,5
15,Hardly interested,Yes,1980,9,8,5,4,7
20,Hardly interested,Yes,1994,9,9,6,6,NA
60,Not at all interested,No,1996,8,7,6,7,5
300,Very interested,Yes,1963,8,8,7,8,6
2,Hardly interested,Yes,1990,7,7,6,6,5
1016,Hardly interested,Yes,1955,7,8,3,3,NA
10,Not at all interested,No,1989,8,8,2,2,NA
30,Hardly interested,Not eligible to vote,2002,7,7,7,8,7
30,Not at all interested,Not eligible to vote,1974,9,9,9,9,7
60,Hardly interested,Yes,1949,7,8,5,6,1
790,Hardly interested,Yes,1970,1,No trust at all,No trust at all,1,1
120,Quite interested,Yes,1941,Complete trust,9,8,6,6
45,Quite interested,Yes,1974,8,9,6,6,3
90,Very interested,Yes,1968,5,Complete trust,6,5,3
180,Very interested,Yes,1997,Complete trust,4,2,6,NA
NA,Hardly interested,No,2000,7,7,6,6,6
120,Quite interested,Yes,1990,7,8,4,5,8
NA,Hardly interested,No,1958,8,8,2,2,No trust at all
90,Quite interested,Yes,1951,Complete trust,9,8,8,NA
30,Hardly interested,Yes,1989,6,5,5,5,5
30,Hardly interested,Yes,1944,6,6,1,1,NA
120,Hardly interested,Yes,1972,9,9,5,4,7
60,Hardly interested,Not eligible to vote,2002,8,8,7,7,6
180,Quite interested,Yes,1942,7,7,7,6,NA
120,Quite interested,Yes,1948,7,9,5,5,5
60,Very interested,Yes,1979,8,7,6,7,NA
60,Hardly interested,Yes,1992,9,Complete trust,5,5,8
300,Very interested,Yes,1932,7,9,9,8,5
120,Hardly interested,Yes,1942,3,5,3,4,No trust at all
1090,Hardly interested,Yes,1986,9,8,5,5,NA
964,Quite interested,No,2003,Complete trust,Complete trust,5,5,5
30,Quite interested,Yes,1969,8,9,6,5,6
20,Hardly interested,Yes,1968,8,8,6,5,7
60,Quite interested,Yes,1956,7,8,5,5,4
30,Quite interested,No,1996,3,7,5,6,NA
120,Quite interested,Yes,1951,7,8,6,6,7
180,Very interested,Yes,1944,5,8,5,5,6
20,Hardly interested,Yes,1996,5,8,4,4,8
60,Hardly interested,Yes,1951,8,9,7,7,NA
20,Hardly interested,Yes,1992,8,9,2,1,3
75,Hardly interested,Yes,1975,8,8,7,7,7
0,Hardly interested,Not eligible to vote,1984,4,6,6,6,4
120,Quite interested,Yes,1964,6,Complete trust,6,6,6
90,Quite interested,Yes,1974,8,9,8,7,8
150,Quite interested,Yes,1944,5,7,6,6,NA
30,Hardly interested,Yes,1997,4,Complete trust,8,8,5
30,Hardly interested,Yes,1976,9,7,5,7,7
60,Hardly interested,No,1997,7,8,4,6,7
150,Quite interested,Yes,1945,9,9,6,6,7
30,Quite interested,Yes,1969,9,8,6,7,8
30,Hardly interested,No,1941,6,6,5,6,3
90,Quite interested,Yes,1952,3,4,3,3,1
120,Quite interested,Not eligible to vote,1944,6,6,2,2,No trust at all
15,Not at all interested,Not eligible to vote,1981,8,9,8,8,6
120,Quite interested,Yes,1946,4,3,5,4,3
60,Not at all interested,No,1992,7,9,2,3,No trust at all
60,Quite interested,Yes,1955,9,7,6,6,3
180,Very interested,Yes,1947,8,9,7,6,4
120,Quite interested,Yes,1956,8,9,3,4,NA
30,Quite interested,Yes,1985,6,7,4,4,5
90,Quite interested,Yes,1947,9,8,7,4,2
60,Hardly interested,Yes,1983,2,2,2,2,2
210,Very interested,Yes,1964,7,No trust at all,2,4,NA
60,Very interested,Yes,1962,8,8,6,6,7
60,Quite interested,Yes,1957,9,9,7,7,9
60,Quite interested,Yes,1945,6,2,8,8,NA
60,Quite interested,No,1975,5,5,5,5,5
120,Quite interested,Yes,1954,8,8,7,7,6
30,Not at all interested,Yes,NA,7,7,5,5,NA
5,Hardly interested,No,1979,7,Complete trust,5,4,NA
240,Hardly interested,Yes,1971,7,7,4,5,5
0,Quite interested,Yes,1997,6,8,5,6,5
15,Quite interested,Yes,1969,5,7,4,5,9
60,Quite interested,Yes,1937,8,Complete trust,9,6,NA
90,Hardly interested,Yes,1972,8,9,6,6,NA
90,Quite interested,Yes,1954,Complete trust,Complete trust,7,6,6
210,Quite interested,Yes,1964,9,8,7,7,5
60,Quite interested,Yes,1960,8,8,3,3,5
60,Quite interested,Yes,1963,8,8,6,4,4
120,Quite interested,Yes,1997,9,9,7,8,8
30,Not at all interested,Not eligible to vote,2003,5,9,7,8,7
60,Hardly interested,Yes,1991,8,9,7,7,7
60,Hardly interested,Yes,1953,7,7,4,4,3
180,Quite interested,Yes,1951,9,9,7,7,6
150,Very interested,Yes,1963,8,7,5,5,7
60,Hardly interested,No,1949,Complete trust,Complete trust,7,7,8
15,Hardly interested,Yes,1976,4,2,2,4,NA
60,Hardly interested,Yes,1940,7,7,5,6,6
60,Hardly interested,Yes,1950,8,Complete trust,4,4,5
120,Hardly interested,Yes,1961,3,3,No trust at all,1,3
60,Quite interested,Yes,1979,7,7,6,6,4
180,Quite interested,Yes,1983,5,6,5,5,5
1,Hardly interested,Yes,1959,1,5,1,1,NA
0,Quite interested,Yes,1985,Complete trust,Complete trust,8,7,6
180,Quite interested,Yes,1943,Complete trust,Complete trust,6,6,NA
20,Not at all interested,Yes,1996,8,Complete trust,6,6,7
60,Very interested,Yes,1968,9,9,3,5,NA
15,Hardly interested,Yes,1985,9,9,7,7,NA
180,Quite interested,Yes,1965,7,8,4,5,4
840,Quite interested,Yes,1964,Complete trust,9,7,7,7
30,Hardly interested,Yes,1973,9,Complete trust,5,8,8
60,Quite interested,Yes,NA,9,8,5,4,5
45,Hardly interested,Yes,1993,6,8,3,3,5
60,Quite interested,Yes,1956,5,5,2,2,5
150,Hardly interested,No,1962,8,8,3,3,3
150,Quite interested,Yes,1983,4,5,3,3,3
120,Quite interested,Yes,1986,8,9,3,4,4
1001,Very interested,Yes,1992,9,9,7,7,NA
30,Quite interested,Not eligible to vote,2001,7,7,5,5,5
120,Very interested,Yes,1978,Complete trust,9,5,5,4
60,Quite interested,Yes,1987,7,6,4,5,NA
30,Hardly interested,Yes,NA,7,9,3,3,3
30,Hardly interested,No,NA,NA,NA,NA,NA,NA
10,Hardly interested,No,1991,3,5,1,1,NA
725,Quite interested,Yes,1979,6,5,3,5,4
90,Hardly interested,Yes,NA,8,Complete trust,7,5,2
150,Very interested,Yes,1988,7,7,5,4,6
45,Quite interested,Yes,1980,Complete trust,Complete trust,9,8,NA
70,Hardly interested,Yes,1956,7,7,4,NA,6
30,Hardly interested,Yes,1990,7,6,4,4,4
120,Quite interested,Yes,1957,Complete trust,Complete trust,8,8,8
30,Hardly interested,Yes,1985,Complete trust,Complete trust,5,7,NA
30,Not at all interested,Yes,1970,7,8,6,6,6
15,Hardly interested,Yes,1980,8,8,3,3,6
240,Quite interested,Not eligible to vote,1994,NA,6,5,Complete trust,7
10,Not at all interested,Yes,1972,6,Complete trust,5,5,NA
60,Quite interested,Yes,1942,5,5,6,8,5
90,Hardly interested,Yes,1962,8,8,5,5,4
120,Hardly interested,Yes,1986,7,3,3,4,NA
45,Quite interested,Yes,1996,9,9,6,5,NA
30,Hardly interested,Yes,1961,8,8,7,9,8
20,Quite interested,Yes,1943,8,8,7,7,8
0,Not at all interested,No,1987,9,Complete trust,4,5,5
150,Very interested,Yes,1944,8,8,6,7,6
90,Quite interested,Yes,NA,9,9,7,7,7
120,Very interested,Yes,1967,Complete trust,8,6,6,5
120,Quite interested,Yes,1967,8,7,4,2,5
45,Quite interested,Yes,1993,7,8,5,4,NA
90,Quite interested,Yes,1984,8,8,6,6,6
150,Quite interested,Yes,1973,8,8,6,4,7
90,Quite interested,Yes,1954,6,3,5,6,3
30,Quite interested,Yes,1988,8,9,5,5,5
120,Hardly interested,Yes,1960,Complete trust,Complete trust,8,7,7
60,Hardly interested,Yes,1964,9,8,2,3,5
60,Not at all interested,Yes,1962,7,Complete trust,5,4,NA
120,Quite interested,Yes,1959,7,9,2,2,1
13,Not at all interested,Not eligible to vote,2001,5,9,5,5,NA
20,Quite interested,Yes,1970,9,8,6,7,7
60,Very interested,Yes,1961,7,7,8,8,7
180,Very interested,Yes,1945,9,7,6,8,6
180,Quite interested,Yes,1945,5,8,3,3,4
10,Not at all interested,Yes,1986,7,7,5,5,5
5,Quite interested,Yes,1986,8,9,3,5,NA
60,Hardly interested,Yes,1978,8,Complete trust,5,5,No trust at all
60,Quite interested,Yes,1941,7,Complete trust,7,7,7
NA,Not at all interested,Yes,1977,7,9,7,7,5
120,Hardly interested,Yes,1959,6,5,5,6,5
30,Hardly interested,Yes,1988,8,Complete trust,5,5,5
NA,Hardly interested,No,1969,7,7,5,4,6
185,Quite interested,Yes,1992,Complete trust,Complete trust,8,5,NA
15,Quite interested,Yes,1985,9,8,8,7,7
60,Quite interested,Yes,1947,9,8,5,5,4
30,Hardly interested,Yes,1996,7,9,7,5,7
60,Quite interested,Yes,1951,Complete trust,Complete trust,3,3,6
60,Quite interested,Yes,1998,7,7,6,4,5
60,Hardly interested,Yes,1984,7,8,3,3,6
120,Quite interested,Yes,1950,Complete trust,Complete trust,8,8,8
120,Quite interested,Yes,1941,8,6,4,4,2
210,Hardly interested,Yes,1946,4,2,4,4,2
30,Quite interested,Not eligible to vote,2003,9,9,7,7,7
120,Quite interested,Yes,1974,8,8,6,6,6
120,Hardly interested,Yes,1932,8,9,7,NA,5
5,Quite interested,Yes,1970,6,8,6,6,5
90,Hardly interested,Not eligible to vote,1986,8,9,7,7,7
180,Hardly interested,Yes,1946,6,7,3,No trust at all,NA
795,Quite interested,Yes,1965,7,7,3,2,5
60,Hardly interested,Yes,1971,8,5,2,4,3
60,Quite interested,Yes,1979,7,6,3,3,5
60,Quite interested,Yes,1970,Complete trust,Complete trust,5,5,4
120,Hardly interested,Yes,1973,8,8,2,2,NA
210,Quite interested,Yes,1938,Complete trust,Complete trust,5,5,8
60,Quite interested,Yes,NA,8,7,5,6,6
10,Hardly interested,Not eligible to vote,1972,6,6,6,6,7
120,Very interested,Yes,1963,9,8,5,6,4
15,Hardly interested,Not eligible to vote,2001,3,4,6,5,NA
40,Hardly interested,Yes,1974,8,8,6,6,6
0,Hardly interested,Yes,1950,5,8,3,4,5
120,Quite interested,Yes,1965,8,8,6,5,6
120,Quite interested,Yes,1947,5,8,4,7,6
60,Quite interested,Yes,1969,8,9,7,8,6
45,Quite interested,Yes,1944,8,8,5,5,6
60,Quite interested,Yes,1975,8,8,7,8,7
797,Quite interested,Yes,1948,9,8,5,3,3
150,Quite interested,Yes,1942,6,7,6,6,5
0,Hardly interested,Yes,1993,9,5,5,6,7
60,Hardly interested,Yes,1938,6,5,5,6,3
90,Quite interested,Yes,1971,7,8,4,3,4
90,Very interested,Yes,1970,8,7,7,7,7
10,Hardly interested,Yes,1980,6,8,2,3,NA
120,Very interested,Yes,1945,9,9,7,7,7
120,Quite interested,Yes,1955,Complete trust,Complete trust,5,4,NA
240,Quite interested,Yes,1975,8,8,6,8,5
60,Quite interested,Yes,1944,9,9,6,6,5
60,Quite interested,Yes,1964,9,4,4,3,NA
60,Very interested,Yes,1973,9,9,6,7,7
60,Not at all interested,No,1990,Complete trust,Complete trust,7,7,NA
5,Hardly interested,Yes,1967,9,9,6,6,6
120,Quite interested,Yes,1942,7,7,7,8,7
120,Quite interested,Yes,1940,8,8,4,4,4
0,Not at all interested,Yes,1993,7,7,2,3,5
60,Hardly interested,Yes,1971,8,8,6,6,6
15,Hardly interested,Yes,1991,8,8,7,7,6
120,Hardly interested,Yes,1994,7,7,6,6,NA
120,Hardly interested,Yes,1995,7,8,5,4,8
180,Hardly interested,No,1965,7,8,7,6,5
45,Quite interested,Yes,1968,9,7,6,6,5
120,Hardly interested,Not eligible to vote,2001,Complete trust,Complete trust,7,7,7
90,Quite interested,Yes,1958,7,7,6,6,6
90,Very interested,Yes,1955,2,3,2,2,4
20,Quite interested,Not eligible to vote,2003,7,Complete trust,9,9,8
30,Hardly interested,Yes,1994,6,3,3,5,NA
60,Quite interested,Yes,1984,Complete trust,Complete trust,6,4,Complete trust
NA,Hardly interested,No,1974,Complete trust,Complete trust,8,7,NA
30,Hardly interested,Yes,1988,8,9,5,4,NA
